Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
214,A147,Existing,Wrong POC,,1,, ,,Not Sure
226,A147,Existing,,,,, ,,Not Sure
227,A147,Existing,,,,, ,,Not Sure
228,A147,Existing,,,,, ,,Not Sure
230,A148,Existing,No response,,3,,Reception,,Not Sure
213,A149,Existing,No response,,3,,Reception,,Not Sure
231,A150,Existing,,,,, ,,Not Sure
,A150,New,Lead,,3,Cold,Reception,Not Important,Yes
229,A151,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
232,A151,Existing,,,1,, ,,Not Sure
,A151,New,No response,,3,,Reception,Not Sure,Not Sure
233,A152,Existing,Wrong POC,,1,,Reception,Not Important,No
1252,A153,Existing,No response,,3,,Reception,Not Sure,Not Sure
1268,A153,Existing,No response,,3,,Reception,Not Sure,Not Sure
1299,A153,Existing,Wrong POC,VM/Email,3,,Reception,Not Sure,Not Sure
234,A154,Existing,Not Interested,,2,,Reception,Not Sure,Yes
235,A154,Existing,Not Interested,,1,,Reception,Not Sure,Not Sure
238,A154,Existing,Not Interested,,,,Reception,Not Sure,Not Sure
236,A155,Existing,No response,,3,,Reception,Not Sure,Not Sure
237,A155,Existing,No response,,3,,Reception,Not Sure,Not Sure
239,A156,Existing,No response,VM/Email,3,,Invalid,Not Sure,Not Sure
241,A157,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
246,A157,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,A157,New,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,A157,New,Not Interested,,3,,Direct Line,Not Sure,Not Sure
243,A158,Existing,No response,,3,,Reception,Not Sure,No
249,A158,Existing,No response,,3,,Reception,Not Sure,No
245,A159,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
247,A159,Existing,Wrong POC,,,,Reception,Not Sure,Not Sure
1330,A160,Existing,No response,,1,,Direct Line,Not Sure,Not Sure
240,A161,Existing,Not Interested,,3,,Direct Line,Not Sure,Not Sure
,A159,New,Lead,,2,Warm,Reception,Important,Not Sure
248,A162,Existing,No response,,3,,Reception,Not Sure,Not Sure
242,A163,Existing,No response,,3,,Reception,Not Sure,Not Sure
244,A163,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
250,A163,Existing,No response,,1,,Reception,Not Important,Not Sure
1320,A163,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
,A163,New,No response,,3,,Reception,Not Sure,Not Sure
1325,A163,Existing,Wrong POC,,3,,Reception,Not Important,No
270,A164,Existing,No response,,1,,Reception,Not Sure,Not Sure
251,A165,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
,A165,New,,,,,,,
271,A165,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
,A165,New,No response,VM/Email,1,,Reception,Not Sure,Not Sure
272,A166,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
1291,A167,Existing,Lead,,3,Cold,Reception,Not Sure,Not Sure
273,A168,Existing,Not Interested,,2,,Direct Line,Not Sure,Not Sure
274,A168,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
1334,A169,Existing,Not Interested,Phone,4,,Reception,Not Sure,Not Sure
,A168,New,Lead,,2,Cold,Direct Line,Important,Yes
275,A170,Existing,No response,,3,,Reception,Not Important,Yes
252,A171,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A171,New,No response,,3,,Reception,Not Sure,Not Sure
253,A172,Existing,Wrong POC,,2,,Direct Line,Not Important,Not Sure
,A172,New,No response,,3,,Reception,Important,Not Sure
254,A172,Existing,No response,,3,,Reception,Not Sure,Not Sure
255,A172,Existing,Wrong POC,,,,Reception,Not Important,Yes
256,A173,Existing,Wrong POC,,1,,Reception,Not Important,No
257,A173,Existing,Wrong POC,,2,,Reception,Not Important,No
258,A173,Existing,Follow-up,VM/Email,1,,Reception,Not Sure,Not Sure
259,A173,Existing,No response,VM/Email,1,,Reception,Not Sure,Not Sure
,A173,New,No response,,3,,Direct Line,Not Sure,Not Sure
260,A174,Existing,No response,,3,,Reception,Not Sure,Not Sure
261,A174,Existing,No response,,1,,Reception,Not Sure,No
262,A175,Existing,No response,,1,,Invalid,Not Sure,Not Sure
1265,A176,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
,A176,New,Wrong POC,,3,,Direct Line,Not Important,Not Sure
1286,A176,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
,A176,New,Follow-up,VM/Email,2,,Direct Line,Important,Not Sure
265,A177,Existing,No response,,3,,Reception,Not Important,Yes
,A177,New,No response,,3,,Reception,Not Sure,Not Sure
266,A177,Existing,No response,,3,,Reception,Not Sure,Not Sure
267,A178,Existing,Wrong POC,,3,,Direct Line,Not Important,Not Sure
1215,A179,Existing,No response,,1,,Invalid,Not Sure,No
,A178,New,Follow-up,VM/Email,1,,Not Sure,Important,Yes
263,A180,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
,A180,New,No response,,3,,Reception,Not Sure,Not Sure
264,A180,Existing,,,,, ,,Not Sure
,A181,New,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
281,A181,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
1230,A182,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
268,A183,Existing,Follow-up,VM/Email,3,,Reception,Not Sure,Not Sure
269,A183,Existing,Wrong POC,,,,,,
280,A183,Existing,Wrong POC,,,,,,
282,A183,Existing,Wrong POC,,,,,,
283,A183,Existing,Wrong POC,,,,,,
284,A183,Existing,Wrong POC,,,,,,
285,A183,Existing,Wrong POC,,,,,,
286,A184,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
287,A184,Existing,No response,,3,,Reception,Not Sure,Not Sure
